SKU,COLOR,COST
T1093,RED,7.07
T1093,ROYAL,7.07
T1093,SLATE,7.07
T1093X,BLACK,7.75
T1093X,BRICK,7.75
T1093X,DARKROSE,7.75
T1093X,MOCHA,7.75
T1093X,NAVY,7.75
T1093X,OLIVE,7.75
T1093X,RED,7.75
T1093X,ROYAL,7.75
T1093X,SLATE,7.75
T1165B,BLACKJADE,9.16
T1166B,BLACK,9.16
T1167B,NAVYTAUPE,9.16
TA20000,BLACK,3.2
TA20000,BURGUNDY,3.2
TA20000,CEMENT,3.2
TA20000,EGGPLANT,3.2
TA20000,IVORY,3.2
TA20000,MOCHA,3.2
TC2015,DUSTYBLUE,10.2
TC2015,DUSTYGREY,10.2
TC2015,DUSTYOLIVE,10.2
D5256,BLACK,8
D5256X,HUNTERGREEN,8.75
D5256,BERRY,8
D5256,DARKRED,8
D5256,DENIM,8
D5256,GREY,8
D5256,HUNTERGREEN,8
D5256,NAVY,8
D5256,PURPLISH,8
D5256,TAUPEGREY,8
D5256X,BERRY,8.75
D5256X,BLACK,8.75
D5256X,DARKRED,8.75
D5256X,GREY,8.75
D5256X,NAVY,8.75
D5256X,PURPLISH,8.75
D5256X,TAUPEGREY,8.75
D5278B,BLACKMULTI,8.75
D5279B,BLACKMULTI,8.75
